iter	RMSE
0	2508.208582
1	2424.744197
2	2350.948292
3	2274.523716
4	2211.205979
5	2154.192445
6	2106.443511
7	2058.640898
8	2020.188013
9	1979.514176
10	1944.976791
11	1914.954322
12	1893.950536
13	1869.462839
14	1845.845066
15	1825.434932
16	1804.819287
17	1783.921511
18	1768.534329
19	1755.753491
20	1742.912818
21	1727.289325
22	1713.599427
23	1703.689476
24	1694.084725
25	1687.459374
26	1676.054632
27	1665.121967
28	1660.100813
29	1653.991365
30	1650.914899
31	1645.56321
32	1640.87846
33	1633.402653
34	1628.34792
35	1621.31773
36	1614.717178
37	1609.896477
38	1607.299463
39	1604.112133
40	1603.652906
41	1600.981369
42	1596.711478
43	1593.62001
44	1591.285361
45	1586.838744
46	1585.073872
47	1581.362369
48	1580.040561
49	1572.810647
50	1572.046345
51	1566.815182
52	1564.188558
53	1562.085766
54	1559.353778
55	1557.948908
56	1555.211572
57	1552.874859
58	1550.643046
59	1546.004362
60	1542.636933
61	1540.863166
62	1535.084977
63	1530.747176
64	1529.895543
65	1525.058684
66	1522.605782
67	1518.329312
68	1512.79323
69	1511.360522
70	1510.243657
71	1506.59293
72	1505.437188
73	1503.464688
74	1500.184226
75	1499.755331
76	1499.345152
77	1497.337957
78	1495.206709
79	1494.961077
80	1492.545639
81	1491.332543
82	1488.651704
83	1487.207113
84	1484.080243
85	1482.391125
86	1480.207252
87	1476.77586
88	1475.692457
89	1473.874282
90	1472.236653
91	1470.11138
92	1468.697804
93	1465.099514
94	1464.957228
95	1464.663107
96	1462.300438
97	1461.731246
98	1458.977492
99	1456.809177
100	1455.282033
101	1451.227422
102	1449.473887
103	1446.236842
104	1444.992666
105	1443.688702
106	1442.174995
107	1441.435808
108	1439.38619
109	1439.178133
110	1436.944443
111	1436.665382
112	1433.134076
113	1432.588292
114	1431.150713
115	1429.548099
116	1426.757456
117	1425.994619
118	1425.743389
119	1423.160733
120	1421.433259
121	1419.01118
122	1417.206335
123	1415.916924
124	1414.212569
125	1413.854054
126	1412.812124
127	1410.247601
128	1409.63163
129	1406.661495
130	1405.474882
131	1403.708981
132	1402.809442
133	1400.620707
134	1399.331103
135	1398.972713
136	1398.866422
137	1397.540691
138	1396.524451
139	1395.617434
140	1394.309978
141	1392.724473
142	1391.706299
143	1390.148655
144	1386.893601
145	1385.178216
146	1381.969067
147	1380.429459
148	1379.312965
149	1378.455861
150	1376.451744
151	1374.925376
152	1374.130529
153	1370.547554
154	1368.290671
155	1367.689013
