iter	Passed	Remaining
0	72	72738
1	176	88060
2	266	88590
3	345	85987
4	420	83751
5	489	81065
6	560	79458
7	640	79455
8	718	79164
9	789	78161
10	848	76284
11	915	75406
12	986	74908
13	1061	74733
14	1132	74362
15	1204	74073
16	1277	73884
17	1360	74195
18	1437	74198
19	1507	73888
20	1582	73782
21	1659	73755
22	1731	73547
23	1804	73372
24	1900	74109
25	1979	74168
26	2055	74068
27	2126	73803
28	2199	73653
29	2271	73445
30	2342	73216
31	2415	73080
32	2486	72873
33	2559	72717
34	2631	72543
35	2705	72450
36	2777	72301
37	2850	72163
38	2924	72062
39	2994	71858
40	3042	71162
41	3112	71001
42	3191	71018
43	3262	70883
44	3334	70765
45	3406	70641
46	3478	70523
47	3550	70416
48	3610	70080
49	3681	69953
50	3753	69842
51	3825	69743
52	3895	69600
53	3965	69478
54	4035	69333
55	4105	69210
56	4181	69185
57	4254	69096
58	4327	69013
59	4402	68975
60	4473	68859
61	4545	68766
62	4620	68718
63	4689	68591
64	4759	68460
65	4832	68386
66	4905	68308
67	4976	68209
68	5048	68124
69	5120	68031
70	5193	67949
71	5269	67911
72	5340	67816
73	5423	67864
74	5500	67839
75	5574	67775
76	5650	67735
77	5731	67750
78	5807	67710
79	5878	67599
80	5949	67504
81	6022	67428
82	6096	67353
83	6167	67257
84	6238	67157
85	6311	67076
86	6382	66975
87	6455	66906
88	6528	66828
89	6601	66744
90	6671	66639
91	6746	66580
92	6816	66474
93	6888	66390
94	6959	66297
95	7029	66194
96	7102	66122
97	7174	66036
98	7245	65943
99	7322	65901
100	7426	66101
101	7580	66735
102	7680	66887
103	7756	66822
104	7831	66752
105	7904	66663
106	7975	66560
107	8048	66476
108	8122	66394
109	8195	66307
110	8264	66193
111	8334	66081
112	8407	65997
113	8480	65907
114	8561	65888
115	8650	65925
116	8734	65915
117	8812	65872
118	8890	65818
119	8967	65759
120	9039	65669
121	9119	65628
122	9200	65600
123	9271	65501
124	9345	65415
125	9423	65365
126	9501	65313
127	9582	65281
128	9663	65247
129	9738	65169
130	9816	65116
131	9903	65125
132	9987	65109
133	10063	65036
134	10138	64960
135	10213	64883
136	10294	64849
137	10373	64794
138	10448	64721
139	10540	64749
140	10630	64764
141	10780	65139
142	10868	65135
143	10941	65040
144	11011	64930
145	11080	64813
146	11149	64699
147	11218	64581
148	11304	64565
149	11395	64575
150	11469	64487
151	11546	64416
152	11618	64321
153	11691	64225
154	11764	64133
155	11841	64067
156	11928	64047
157	12001	63957
158	12068	63832
159	12138	63724
160	12208	63619
161	12278	63515
162	12349	63414
163	12461	63523
164	12540	63463
165	12607	63340
166	12680	63250
167	12755	63167
168	12828	63077
169	12900	62986
170	12975	62906
171	13050	62825
172	13136	62798
173	13247	62888
174	13335	62865
175	13414	62802
176	13481	62685
177	13548	62565
178	13616	62451
179	13682	62333
180	13750	62220
181	13819	62110
182	13889	62008
183	13966	61936
184	14041	61857
185	14134	61859
186	14223	61838
187	14297	61751
188	14365	61643
189	14434	61536
190	14503	61429
191	14570	61319
192	14638	61210
193	14706	61102
194	14790	61056
195	14867	60987
196	14938	60892
197	15010	60800
198	15080	60702
199	15152	60610
200	15226	60526
201	15309	60481
202	15384	60400
203	15455	60305
204	15531	60232
205	15602	60139
206	15698	60138
207	15793	60136
208	15895	60161
209	15986	60138
210	16055	60038
211	16124	59936
212	16194	59835
213	16264	59736
214	16332	59631
215	16400	59527
216	16469	59427
217	16537	59323
218	16614	59251
219	16682	59145
220	16750	59044
221	16818	58941
222	16889	58848
223	16960	58755
224	17029	58656
225	17098	58558
226	17168	58463
227	17236	58362
228	17306	58268
229	17375	58171
230	17442	58065
231	17512	57970
232	17588	57897
233	17654	57793
234	17724	57697
235	17793	57601
236	17861	57504
237	17930	57407
238	17998	57310
239	18066	57211
240	18135	57115
241	18205	57024
242	18278	56942
243	18356	56874
244	18427	56787
245	18495	56690
246	18564	56594
247	18673	56623
248	18740	56521
249	18807	56421
250	18875	56324
251	18947	56239
252	19014	56141
