,city,district,neighborhood,square_meter,gold_gr,type,total_gold
1,İstanbul,Arnavutköy,Mareşal Fevzi Çakmak Mah.,850.0,5.2487376785883,3,4461.427026800055
4,İstanbul,Kağıthane,Çağlayan Mah.,140.0,12.84066182083209,3,1797.6926549164923
6,İstanbul,Çatalca,Ovayenice Mah.,1732.0,0.7197316389519175,1,1246.575198664721
7,İstanbul,Silivri,Beyciler Mah.,414.0,1.0459441026172336,2,433.0208584835347
9,İstanbul,Kartal,Orta Mah.,298.0,13.386042401768815,3,3989.040635727108
11,İstanbul,Çatalca,Atatürk Mah.,218.0,1.4024723384301303,2,305.73896977776843
12,İstanbul,Silivri,Hürriyet Mah.,260.0,12.9199696703712,3,3359.192114296512
13,İstanbul,Eyüpsultan,İslambey Mah.,133.0,14.799072402034678,3,1968.2766294706123
14,İstanbul,Çatalca,Ferhatpaşa Mah.,534.0,0.498826661401416,2,266.3734371883562
15,İstanbul,Pendik,Kurna Mah.,967.0,2.198282068074727,2,2125.738759828261
16,İstanbul,Çatalca,İzzettin Mah.,350.0,0.4911318827821908,2,171.8961589737668
17,İstanbul,Arnavutköy,Durusu Mah.,160.0,1.4762074721029592,3,236.19319553647347
19,İstanbul,Pendik,Sanayi Mah.,274.0,13.888083273636925,1,3805.334816976517
21,İstanbul,Arnavutköy,Haraççı Mah.,212.0,5.880071691814722,3,1246.575198664721
22,İstanbul,Çatalca,Yazlık Mah.,270.0,0.7921705940832341,2,213.8860604024732
23,İstanbul,Silivri,İsmetpaşa Mah.,604.0,0.4258081891569978,2,257.18814625082666
24,İstanbul,Küçükçekmece,Yarımburgaz Mah.,428.0,4.506801628227103,3,1928.9110968812
25,İstanbul,Sultanbeyli,Turgut Reis Mah.,317.0,9.189430320556802,3,2913.0494116165064
26,İstanbul,Çatalca,Kestanelik Mah.,884.0,1.929682970069228,2,1705.839745541197
27,İstanbul,Silivri,Sancaktepe Mah.,1400.0,3.749098341848785,3,5248.7376785883
28,İstanbul,Şişli,Mecidiyeköy Mah.,149.0,0.0281811418984606,3,4.198990142870639
29,İstanbul,Şile,Çengilli Mah.,1050.0,0.3436673480028053,1,360.8507154029456
32,İstanbul,Şile,Çavuş Mah.,1135.0,5.214054389963267,3,5917.951732608308
33,İstanbul,Silivri,Semizkumlar Mah.,404.0,6.171164349825353,3,2493.1503973294425
34,İstanbul,Şile,Balibey Mah.,565.0,13.121844196470748,3,7413.841971005972
36,İstanbul,Beylikdüzü,Dereağzı Mah.,423.0,7.600122525142632,3,3214.8518281353336
37,İstanbul,Sultangazi,Gazi Mah.,217.0,16.447657241659186,3,3569.1416214400438
39,İstanbul,Kağıthane,Yahya Kemal Mah.,92.0,13.549730420268707,3,1246.575198664721
40,İstanbul,Büyükçekmece,Kamiloba Mah.,544.0,7.477521509018257,3,4067.771700905932
41,İstanbul,Silivri,Büyük Çavuşlu Mah.,500.0,2.80807465804474,3,1404.03732902237
42,İstanbul,Çatalca,Çanakça Mah.,1509.0,1.0434866160215308,2,1574.62130357649
43,İstanbul,Beykoz,Elmalı Mah.,484.0,10.03116188573177,3,4855.082352694177
46,İstanbul,Çekmeköy,Koçullu Mah.,371.0,3.536885228159232,3,1312.184419647075
48,İstanbul,Şile,Çengilli Mah.,1830.0,0.5664621265143109,3,1036.625691521189
50,İstanbul,Şile,Erenler Mah.,376.0,3.838837397903677,3,1443.4028616117823
51,İstanbul,Ümraniye,İnkılap Mah.,302.0,2.759063266476465,3,833.2371064758925
52,İstanbul,Avcılar,Ambarlı Mah.,142.0,8.409069168160832,3,1194.087821878838
54,İstanbul,Arnavutköy,Balaban Mah.,226.0,0.7257657188313467,2,164.02305245588434
57,İstanbul,Çatalca,Karacaköy Merkez Mah.,245.0,0.5355854774069694,2,131.2184419647075
58,İstanbul,Şile,İsaköy Mah.,880.0,0.8648488220401175,2,761.0669633953033
59,İstanbul,Bağcılar,Yavuz Selim Mah.,68.0,15.051527166539977,3,1023.5038473247184
60,İstanbul,Büyükçekmece,Yenimahalle Mah.,501.0,5.290643767838506,3,2650.612527687092
61,İstanbul,Silivri,Çeltik Mah.,1766.0,1.9311253152110688,3,3410.3673066627475
62,İstanbul,Çekmeköy,Ömerli Mah.,326.0,10.666529791609658,3,3477.288712064749
63,İstanbul,Sultanbeyli,Hamidiye Mah.,567.0,7.174200530698293,3,4067.771700905933
64,İstanbul,Pendik,Ballıca Mah.,845.0,3.9598464734911727,0,3346.070270100041
65,İstanbul,Silivri,Mimar Sinan Mah.,560.0,5.389328866407629,3,3018.0241651882725
68,İstanbul,Çekmeköy,Koçullu Mah.,223.0,3.4716986887523507,2,774.1888075917742
69,İstanbul,Şile,Ovacık Mah.,750.0,2.886805723223565,3,2165.1042924176736
71,İstanbul,Çatalca,Ferhatpaşa Mah.,1068.0,0.4324802581608337,2,461.8889157157704
73,İstanbul,Şile,Ahmetli Mah.,410.0,3.200449804017256,3,1312.184419647075
74,İstanbul,Küçükçekmece,Yarımburgaz Mah.,601.0,6.768338936615527,3,4067.771700905932
75,İstanbul,Pendik,Ahmet Yesevi Mah.,139.0,6.608122976639945,3,918.5290937529523
76,İstanbul,Beykoz,Dereseki Mah.,700.0,7.873106517882449,0,5511.174562517715
77,İstanbul,Arnavutköy,Dursunköy Mah.,300.0,1.0060080550627577,3,301.8024165188273
78,İstanbul,Büyükçekmece,Güzelce Mah.,424.0,6.499026606742588,3,2755.5872812588573
79,İstanbul,Çatalca,Kestanelik Mah.,610.0,4.517356198785012,3,2755.5872812588573
81,İstanbul,Arnavutköy,Hadımköy Mah.,261.0,5.204494439776889,3,1358.373048781768
83,İstanbul,Çekmeköy,Koçullu Mah.,300.0,3.455418971737297,2,1036.625691521189
84,İstanbul,Arnavutköy,Tayakadın Mah.,805.0,1.304034205860447,3,1049.74753571766
85,İstanbul,Şile,Göçe Mah.,3524.0,0.4840634919242898,2,1705.839745541197
88,İstanbul,Şile,Çataklı Mah.,3498.0,0.2288257564278775,3,800.4324959847157
89,İstanbul,Kartal,Yunus Mah.,281.0,10.273329975884572,3,2886.8057232235647
90,İstanbul,Çatalca,Subaşı Mah.,940.0,3.210664005519438,2,3018.0241651882725
91,İstanbul,Sancaktepe,Yenidoğan Mah.,215.0,9.154775020793544,3,1968.2766294706123
93,İstanbul,Şile,Kızılca Mah.,1817.0,2.166512525559287,2,3936.5532589412246
94,İstanbul,Arnavutköy,Hadımköy Mah.,261.0,5.203992692630986,3,1358.2420927766873
95,İstanbul,Arnavutköy,Terkos Mah.,307.0,0.68387461610271,2,209.949507143532
96,İstanbul,Şile,Çengilli Mah.,125.0,1.7845708107200218,3,223.07135134000276
99,İstanbul,Sultanbeyli,Battalgazi Mah.,210.0,5.623647512773178,3,1180.965977682367
100,İstanbul,Şile,Bucaklı Mah.,977.0,1.007306361039208,1,984.1383147353062
101,İstanbul,Silivri,Fener Mah.,1800.0,0.5102939409738624,2,918.5290937529522
102,İstanbul,Arnavutköy,Haraççı Mah.,700.0,7.535312757281873,3,5274.718930097311
103,İstanbul,Çatalca,Karacaköy Merkez Mah.,350.0,0.8997836020437084,2,314.924260715298
104,İstanbul,Avcılar,Firuzköy Mah.,465.0,10.15884711984832,3,4723.863910729469
105,İstanbul,Şile,İsaköy Mah.,558.0,1.3051296647027355,1,728.2623529041265
106,İstanbul,Şile,Ağva Merkez Mah.,364.0,5.515500445219848,3,2007.6421620600247
107,İstanbul,Silivri,Balaban Mah.,2600.0,1.9178079979457248,3,4986.300794658884
108,İstanbul,Başakşehir,Kayabaşı Mah.,257.0,13.275017475028772,3,3411.679491082394
110,İstanbul,Büyükçekmece,Karaağaç Mah.,1050.0,1.199711469391611,0,1259.697042861192
112,İstanbul,Çatalca,İnceğiz Mah.,1165.0,1.1713920999424532,2,1364.671796432958
113,İstanbul,Sultanbeyli,Necip Fazıl Mah.,211.0,5.684059523968846,0,1199.3365595574264
114,İstanbul,Beykoz,Kılıçlı Mah.,2036.0,2.9002111436207447,3,5904.829888411837
115,İstanbul,Arnavutköy,Hadımköy Mah.,261.0,5.20348993997978,3,1358.1108743347224
116,İstanbul,Çatalca,Çiftlikköy Mah.,1050.0,1.012256552299172,2,1062.8693799141306
117,İstanbul,Sultanbeyli,Necip Fazıl Mah.,174.0,6.485509200554508,3,1128.4786008964843
118,İstanbul,Fatih,Cibali Mah.,120.0,9.841383147353062,1,1180.965977682367
120,İstanbul,Pendik,Sülüntepe Mah.,350.0,4.124008176033664,1,1443.4028616117823
121,İstanbul,Şile,Kumbaba Mah.,719.0,7.847556334467902,3,5642.393004482422
122,İstanbul,Silivri,Hürriyet Mah.,2219.0,2.128825556885745,3,4723.863910729469
125,İstanbul,Küçükçekmece,İnönü Mah.,134.0,13.611465248577865,3,1823.9363433094336
126,İstanbul,Silivri,Balaban Mah.,516.0,1.0934870163725623,1,564.2393004482423
127,İstanbul,Esenyurt,Atatürk Mah.,121.0,7.808039521866892,1,944.772782145894
128,İstanbul,Çatalca,Kabakça Mah.,502.0,1.7513218349871318,2,879.1635611635402
129,İstanbul,Küçükçekmece,Cumhuriyet Mah.,212.0,13.61700812841304,3,2886.8057232235647
131,İstanbul,Silivri,İsmetpaşa Mah.,447.0,0.8806606843268959,2,393.6553258941225
132,İstanbul,Silivri,Kadıköy Mah.,740.0,0.7092888754849053,2,524.8737678588299
133,İstanbul,Çatalca,Çiftlikköy Mah.,350.0,1.687094253831953,2,590.4829888411837
134,İstanbul,Arnavutköy,Bolluca Mah.,595.0,5.557486953799375,3,3306.7047375106285
135,İstanbul,Çatalca,Kestanelik Mah.,3548.0,1.4053835385171602,2,4986.300794658884
136,İstanbul,Silivri,Balaban Mah.,300.0,1.7495792261960998,3,524.87376785883
137,İstanbul,Çatalca,Kabakça Mah.,175.0,1.649603270413465,3,288.68057232235645
138,İstanbul,Tuzla,Aydınlı Mah.,222.0,13.59470344679402,0,3018.0241651882725
141,İstanbul,Maltepe,Gülsuyu Mah.,250.0,5.353712432160066,3,1338.4281080400165
142,İstanbul,Sarıyer,Kocataş Mah.,640.0,10.866527225202338,1,6954.577424129497
143,İstanbul,Büyükçekmece,Pınartepe Mah.,994.0,3.432273129861564,1,3411.679491082394
146,İstanbul,Çekmeköy,Ömerli Mah.,600.0,6.998316904784399,3,4198.99014287064
147,İstanbul,Büyükçekmece,Kamiloba Mah.,792.0,3.6449567212418743,3,2886.8057232235647
148,İstanbul,Beykoz,Merkez Mah.,263.0,2.245182467076744,1,590.4829888411837
150,İstanbul,Arnavutköy,Baklalı Mah.,750.0,1.04974753571766,2,787.310651788245
151,İstanbul,Şile,İsaköy Mah.,891.0,0.5047768755721993,2,449.7561961348296
152,İstanbul,Silivri,İsmetpaşa Mah.,1193.0,1.594859520945732,3,1902.6674084882584
153,İstanbul,Pendik,Kurtdoğmuş Mah.,960.0,1.2301728934191327,2,1180.965977682367
154,İstanbul,Şile,Göçe Mah.,210.0,2.1244890603809785,0,446.1427026800055
