"img-link href","photo-count","list-view-price","list-view-date","left","celly","celly 2","he-lazy-image src","list-view-header","list-view-location","img-wrp href","he-lazy-image src 2","wp-btn","listing-card--owner-info__firm-name"
"https://www.hepsiemlak.com/istanbul-beyoglu-kocatepe-satilik/imarli-ticari/1152-2551","9","135.000.000","31-03-2025","Satılık İmarlı - Ticari","234 m²","576.923
                      TL / m²","https://hecdn01.hemlak.com/img/eids-logo-mini.png","Taksim , Talimhane Ana Cadde Üstünde Kupon İmarlı Arsa","İstanbul / Beyoğlu / Kocatepe Mah.","https://www.hepsiemlak.com/emlak-ofisi/sefa-gayrimenkul-1152/ali-sefa-ozgen-1152","https://hecdnnw.hemlak.com/mncropresize/77/67/firmuser/2/5/1/1/0/0/9934efd2-1ae3-4efd-9de7-5eaf28041b10.jpg","Whatsapp","Sefa Gayrimenkul"
"https://www.hepsiemlak.com/istanbul-arnavutkoy-maresal-fevzi-cakmak-satilik/imarli-konut/144331-5","11","17.000.000","16-03-2025","Satılık İmarlı - Konut","850 m²","18.824
                      TL / m²","","Metropol Şehir Arnavutköyde Villa İmarlı Arsa","İstanbul / Arnavutköy / Mareşal Fevzi Çakmak Mah.","","","Whatsapp",""
"https://www.hepsiemlak.com/istanbul-catalca-dagyenice-satilik/depo-antrepo-izinli/0-43856843","31","718.000.000","29-03-2025","Satılık Depo, Antrepo İzinli","50.432 m²","14.237
                      TL / m²","","Sahibinden - 50.432 M2 - Anayola 270 Metre Cepheli Müstakil Tapu Bölgede Tek","İstanbul / Çatalca / Dağyenice Mah.","","","Whatsapp",""
"https://www.hepsiemlak.com/istanbul-catalca-orcunlu-satilik/depo-antrepo-izinli/0-43856798","31","266.000.000","29-03-2025","Satılık Depo, Antrepo İzinli","13.822 m²","19.245
                      TL / m²","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/8/9/7/6/5/8/3/4/BLP9g_Fxs6fzmU4P4Qfl4.jpg","Sahibinden - Havalimanı Yoluna 130 Metre Cepheli - Tek Tapu - 13.822 M2 Arazi","İstanbul / Çatalca / Örcünlü Mah.","","","Whatsapp",""
"https://www.hepsiemlak.com/istanbul-kagithane-caglayan-satilik/imarli-konut/72073-15","2","6.850.000","28-03-2025","Satılık İmarlı - Konut","140 m²","48.929
                      TL / m²","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/0/8/7/8/9/3/4/4/c939134d-be60-4a21-a7f3-d43aceb722c9.jpeg","Zt Gayrimenkul'den Satılık Müthiş Konumda İmarlı Arsa","İstanbul / Kağıthane / Çağlayan Mah.","","","Whatsapp",""
"https://www.hepsiemlak.com/istanbul-umraniye-esenkent-satilik/konutticaret/145404-294","2","40.000.000","27-03-2025","Satılık Konut+Ticaret","518 m²","77.220
                      TL / m²","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/7/0/9/3/3/2/4/4/7a7337dc-7488-4eb9-848b-8933aea28866.jpg","Ümraniye Esenkent Caddeye Köşe Satılık Ticari+konut Müstakil Arsa","İstanbul / Ümraniye / Esenkent Mah.","","","Whatsapp",""
"https://www.hepsiemlak.com/istanbul-catalca-ovayenice-satilik/ozel-kullanim/64013-4103","5","4.750.000","27-03-2025","Satılık Özel Kullanım","1.732 m²","2.742
                      TL / m²","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/0/2/2/5/7/3/4/4/05c396d5-bdd2-49ba-87cc-b28560e0d3e5.jpeg","Çatalca Ovayenice'de 1732m2 Etrafı Çevrili Arsa","İstanbul / Çatalca / Ovayenice Mah.","https://www.hepsiemlak.com/emlak-ofisi/yusa-gayrimenkul-64013/yusa-ozel-1156216","https://hecdnnw.hemlak.com/mncropresize/77/67/firmuser/6/1/2/6/5/1/1/1a64e987-a35e-4fb1-982a-1d4c7ddfa849.jpg","Whatsapp","Yuşa Gayrimenkul"
"https://www.hepsiemlak.com/istanbul-silivri-beyciler-satilik/tarla/153956-6","4","1.650.000","26-03-2025","Satılık Tarla","414 m²","3.986
                      TL / m²","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/3/3/5/6/3/2/4/4/1740312891743-44236533.jpg","Silivri Beyciler Mah.De Fırsat Bir Fiyata Satılık Bağ Evli Tarla","İstanbul / Silivri / Beyciler Mah.","https://www.hepsiemlak.com/emlak-ofisi/gabra-emlak-153956/saadet-bilgis-4336652","https://hecdnnw.hemlak.com/mncropresize/77/67/firmuser/2/5/6/6/3/3/4/fb0b38b6-fb4b-440f-861a-7af16fc55d76.jpg","Whatsapp","Gabra Emlak"
"https://www.hepsiemlak.com/istanbul-silivri-mimar-sinan-satilik/imarli-konut/1171-11145","6","104.500.000","31-03-2025","Satılık İmarlı - Konut","3.134 m²","33.344
                      TL / m²","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/0/0/5/5/4/7/3/4/b9d8fe31-6f80-4042-a1e5-2fb46caea6e5.jpg","Silivri Piri Mehmet Paşa Mah.İmarlı Arsa","İstanbul / Silivri / Mimar Sinan Mah.","https://www.hepsiemlak.com/emlak-ofisi/a-z-emlak-1171/haydar-otman-1171","https://hecdnnw.hemlak.com/mncropresize/77/67/firmuser/1/7/1/1/0/0/0e8fa05c-b56b-499a-9c4e-7cccff732d56.jpg","Whatsapp","A-z Emlak"
"https://www.hepsiemlak.com/istanbul-kartal-orta-satilik/imarli-konut/155931-6","46","15.200.000","31-03-2025","Satılık İmarlı - Konut","298 m²","51.007
                      TL / m²","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/5/0/4/1/2/3/4/4/66a8d096-560e-4588-8b31-3b48c8872ac9.jpeg","Tk Grup Kartal'da Konut İmarlı Çift Cepheli Satılık Arsa","İstanbul / Kartal / Orta Mah.","https://www.hepsiemlak.com/emlak-ofisi/tk-grup-gayrimenkul-155931/zafer-aydin-4388147","https://hecdnnw.hemlak.com/mncropresize/77/67/firmuser/7/4/1/8/8/3/4/511b7641-0f27-47b9-a4d4-4274782d89dd.jpg","Whatsapp","Tk Grup Gayrimenkul"
"https://www.hepsiemlak.com/istanbul-pendik-kurna-satilik/tarla/42003-6378","36","50.000.000","31-03-2025","Satılık Tarla","12.703 m²","3.936
                      TL / m²","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/0/8/7/7/9/0/4/4/3401da7d-3bbf-4246-a67c-2317e9b900cb.jpg","Pendik Kurnaköy Viaporta Yakın Yatırım Değeri Yüksek Satılık Müstakil 12.703 M2 Tarla","İstanbul / Pendik / Kurna Mah.","https://www.hepsiemlak.com/emlak-ofisi/remax-gold-42003","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/3/0/0/2/4/0/bf81fbef-bc86-4a24-934b-adc1f86d2b67.jpg","Whatsapp","Remax Gold"
